################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2024-10-19 11:15:44 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2024-10-19 11:15:44", "c26e8e9bce270e1381ed8968384dd63feba64da2f8694c8e0be152ac1aae96a0", "bd005599bdb917da0b7358b3d6146bcb", "8c43dfb6d304d837ee99863499baa7d1d641ef64", "JAMESWT_MHT", "c26e8e9bce270e1381ed8968384dd63feba64da2f8694c8e0be152ac1aae96a0", "exe", "application/x-dosexec", "IcedID", "n/a", "82.19", "5a8049d632f4eb2fc4735faed7b61978", "192:5piF7hWH0iI8jKWE2uNB+PEwtDtf7LgzOnDpfSbxNPDt:KNh8q8joRmPEi1LgSnDsbxNP", "T1A2224CEFAD170BA0EEB690F50276D417E9BA61110DAF8853FB1166C15C315103D6EF63"
"2024-10-19 11:14:13", "c7441ea5c8a42ce0a3afa24991c8a7f328434d2eba9c3d2a2fc26543c9288f9a", "ba284cfc6613a94b26e98fbce2ffbcd2", "86d16b484839e921ddca8fa98a6e917f2e69a2fc", "JAMESWT_MHT", "c7441ea5c8a42ce0a3afa24991c8a7f328434d2eba9c3d2a2fc26543c9288f9a", "exe", "application/x-dosexec", "IcedID", "n/a", "10.96", "459cb4ef717c81ce8c68ec4e3335534a", "6144:U5n56WmpbhDbl+DjoxoycmxogK0Xn0zznIh0jv6nkZsb66tZ15:0VSo/60PnIhsK66Df", "T1D6847B02F7C5C0F1E6A646315EA5DB7BB771BD908828A70733D0BB9E5F346429A3530A"
"2024-10-19 11:10:40", "b9ce680718abab18162d7358dd9717276d4d77674f699aac9f7dfc3dc2e9115b", "0ef3890b051c62c04435a5ab8cb15ec2", "c810007de17fe76f2fca134d0a1003c790a616d9", "JAMESWT_MHT", "file.exe", "exe", "application/x-dosexec", "IcedID", "n/a", "73.97", "51a39d3e3157040e8114582e1db221ac", "6144:N3GXaEkS6acHhDbYIur4J4Zn4HSMz6gCz3FGIcAolpgVHMe4IuKKew8O/CTq:N4aW4uMz6DwAUOVHMe4938C", "T1EB845B01B794C0F1E716B6700F66E676B7B5B9A14864BB4B37D07B3D2F301816A3A31A"
"2024-10-19 11:01:18", "d289999a76d0d9ceeb9198b9ebc7c7cd20f1165e68315e57e1dc84864b2c4577", "bc332a9cebdd81dd5136beff2d0c70fe", "d3f846ffa0b1b01b2684158920fff37e8d0de03d", "JAMESWT_MHT", "bat2.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "0.00", "n/a", "12:QLF5+2PrmPZ2Pha+2rQUEmR88FVme2rQo0me2xG2QYv:QxY2yPZ2pT275Vf2B0f2g2v", "T1EEF08C9152C7CA2E190DD16B06B2A2CCE1754C4C3FCA3B219728C94D228A80FFBC3316"
"2024-10-19 10:54:35", "dff11d404134bc16c820c53e989b102ae774c41b14e14b5d346df3b6d18f7236", "ac950c8c9679bfb71c13fa99d6e06161", "dc0088962b4908c9a574ad20fd5544dff3ab4d14", "TeamDreier", "Re property pdf.zip", "zip", "application/zip", "Formbook", "n/a", "58.82", "n/a", "12288:1RhfVHL6oLNKIsUbfxvBnym0PHgolbyL2K+P7A7//ZnZP:17VmuMUrDniPHgolbyL2K+P09p", "T1DDD4235EFC2DD9378AD8F750128A30C64D325842AB98976760447992FF35BCE32A7E84"
"2024-10-19 10:54:34", "a9d4aa43728b39fde9ba1ae406c10904369c6ccfbeed1c347b847b0e8ca6bcb1", "a217ff7da729f56faf0bb3de4ad87f40", "991801525b52069bb48c8c2907dcb587c592ce11", "TeamDreier", "Re property pdf.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "57.53", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:cKIFhlPlL/LMopPIIA6J1x5/9uQQbolbczlsP7AAsZK4G45AWqpA/:cKIdPlL4wo6PL9EbolbczlsP0A/43d0u", "T1C6E41260A92EEC32C9E517B01130E7B30B769ECCE411D3139AEEECD7BA167963595390"
"2024-10-19 10:54:32", "c45dbd589de46bf6c999c8686a2f60d52ac0370dff4ac4a1f0faa1d4daf64165", "6ec79cb93f7185c7fef8e1d8922e6fa4", "3aaa15ec013bc59ad421977f839483ec29b23215", "TeamDreier", "PROFOMA INVOICE 90021144577.z", "zip", "application/zip", "SnakeKeylogger", "n/a", "31.88", "n/a", "24576:arj4guvo2MVyYXsfTHEFPEZnszae7wZquJ4m9aqjTIz2:c4g/2bYoccW6nJVVH", "T1B315339EBC968873F32C3B51AC93D749C11F1AF206B108994F9E21E4DCD67097A06E79"
"2024-10-19 10:54:31", "3184c6a5b7d08a422e58b2b8ad2f7e1087dde96f1586b641144a36e44caf6d52", "1fee12ff03049fbdb2b704b38813b76e", "b36742ac22738ed0833d90fe9ea1f4e9ee37981c", "TeamDreier", "PROFOMA INVOICE 90021144577.exe", "exe", "application/x-dosexec", "SnakeKeylogger", "n/a", "42.47", "aaaa8913c89c8aa4a5d93f06853894da", "24576:ffmMv6Ckr7Mny5QL1XsfzZEJpEZ5sza+7wHaEb4m9qmj/IYE:f3v+7/5QL1+6SEcnbVbE", "T1CF45E112F7D680F2DAA339B1297BE32AEB3575154333C4CB97E12E768E111409B3A761"
"2024-10-19 10:54:11", "a37967f411829bd3edfa6855abb0fb38624ed668ad3f9184d1394fa96cddb7eb", "1e373a2f396242768ed6be296b8ad452", "8c8a284024f9297d63ad1e821a9a8f1739dc6e4d", "TeamDreier", "New PO-Auras Demand.exe", "exe", "application/x-dosexec", "AgentTesla", "n/a", "46.58", "", "12288:TxP7r9r/+ppppppppppppppppppppppppppppp0GOek3bvOE+SQdRc8R2BdJeiwp:l1qOb9+I8+d/rWI0s1gyOPEL4", "T17E95DF80B5475D53FC099670D9E6B8F152FE6DAB78F4541FDF8A3D222ABA2BE1011032"
"2024-10-19 10:54:10", "3cdb0e88cca686d82cc39417bcb8124c237a60f115d2e28a7f28853ab5a44e82", "2cd587e1af7a485fa324ffaf0a0b9510", "e2633d0b2044ef54dd2a4cfbb8ede206d79283ee", "TeamDreier", "New PO-Auras Demand_1.zip", "zip", "application/zip", "AgentTesla", "n/a", "n/a", "n/a", "12288:FjbyelqtNbD4E+SQdRckReBdJ06w6WvBo0fkBPyglKKI49ObpXULkz:FXMj+Ik6d7rWK0sZg+ObpELkz", "T1EDD423A9452BED26F30A59C10B4E0A5AFFA4A94CA96450C1D5FF38035CE733E93D1DC6"
